  JULIAN ALAPHILIPPE  ,41,DECEUNINCK - QUICK - STEP  ,'27h 4'' 7'''''
  ADAM YATES  ,161,MITCHELTON - SCOTT  ,'27h 4'' 9'''''
  BAUKE MOLLEMA  ,104,TREK - SEGAFREDO  ,'27h 4'' 10'''''
  EGAN BERNAL  ,1,INEOS GRENADIERS  ,'27h 4'' 10'''''
  TADEJ POGACAR  ,131,UAE TEAM EMIRATES  ,'27h 4'' 10'''''
  ESTEBAN CHAVES  ,164,MITCHELTON - SCOTT  ,'27h 4'' 10'''''
  NAIRO QUINTANA  ,81,TEAM ARKEA - SAMSIC  ,'27h 4'' 10'''''
  THIBAUT PINOT  ,51,GROUPAMA - FDJ  ,'27h 4'' 10'''''
  TOM DUMOULIN  ,14,TEAM JUMBO - VISMA  ,'27h 4'' 10'''''
  ROMAIN BARDET  ,31,AG2R LA MONDIALE  ,'27h 4'' 10'''''
  PRIMOŽ ROGLIC  ,11,TEAM JUMBO - VISMA  ,'27h 4'' 10'''''
  RIGOBERTO URAN  ,71,EF PRO CYCLING  ,'27h 4'' 10'''''
  MIGUEL ANGEL LOPEZ  ,141,ASTANA PRO TEAM  ,'27h 4'' 10'''''
  MIKEL LANDA  ,61,BAHRAIN - MCLAREN  ,'27h 4'' 10'''''
  GUILLAUME MARTIN  ,121,COFIDIS  ,'27h 4'' 10'''''
  RICHIE PORTE  ,101,TREK - SEGAFREDO  ,'27h 4'' 10'''''
  EMANUEL BUCHMANN  ,22,BORA - HANSGROHE  ,'27h 4'' 19'''''
  ENRIC MAS  ,94,MOVISTAR TEAM  ,'27h 4'' 19'''''
  ALEJANDRO VALVERDE  ,91,MOVISTAR TEAM  ,'27h 4'' 31'''''
  RICHARD CARAPAZ  ,3,INEOS GRENADIERS  ,'27h 4'' 38'''''
  SERGIO ANDRES HIGUITA  ,74,EF PRO CYCLING  ,'27h 4'' 38'''''
  DAMIANO CARUSO  ,63,BAHRAIN - MCLAREN  ,'27h 4'' 38'''''
  PIERRE ROLLAND  ,218,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'27h 5'' 7'''''
